Index,Question,Prediction,Eval
1344,2 3 8 13,(13 - 8) * (3 - 2) = 24,False
1027,1 5 7 9,(5 * 9) - 7 - 1 = 24,False
871,3 3 7 9,(9 - 3) * (7 - 3) = 24,True
431,1 3 10 12,(12 / (10 - 3)) * 1 = 24,False
239,4 4 5 6,(5 - 4) * (4 + 6) = 24,False
815,3 3 6 11,(11 - 3) * (6 / 3) = 24,False
233,1 4 4 5,(5 * 4) - (4 / 1) = 24,False
119,2 8 9 9,(8 - 2) * (9 - 9) = 24,False
966,3 3 4 11,(11 - 4) * 3 - 3 = 24,False
3,1 1 1 8,(8 - 1) * (1 + 1),False
1125,2 4 9 10,(9 - 4) * 2 + 10 = 24,False
1134,1 3 5 6,(5 * 6) - (3 - 1) = 24,False
1070,4 6 9 13,(13 - 9) * (6 / 4) = 24,False
643,1 5 9 10,(10 - 5) * (9 - 1),False
564,1 4 10 11,(11 - 4) * 10 / 1,False
79,1 8 9 12,(9 - 1) * (12 - 8) = 24,False
1002,2 4 6 8,(8 - 6) * (4 + 2),False
587,3 6 6 9,(9 - 6) * (6 / 3) = 24,False
5,1 1 2 12,(12 / (1 + 1)) * 2,False
1345,7 8 10 11,(10 * 11) - (7 + 8) = 24,False
509,5 5 10 11,(11 - 5) * (10 / 5) = 24,False
698,2 3 3 7,(7 - 3) * (3 + 2),False
326,6 7 12 13,(13 - 7) * (12 / 6) = 24,False
327,1 2 5 5,(5 * 5) - 2 - 1 = 24,False
120,6 6 12 12,(12 / (12 / 6)) * 6 = 24,False
875,5 6 9 12,(12 / (9 - 6)) * 5 = 24,False
950,1 2 2 9,(9 - 2) * 2 + 1,False
985,5 9 12 12,(12 / (12 - 9)) * 5 = 24,False
1096,4 4 5 12,(12 - 4) * (5 - 4) = 24,False
409,4 4 4 12,(4 * 4) + (4 - 12) = 24,False
429,8 10 11 11,(11 - 10) * 11 - 8 = 24,False
677,3 4 5 10,(10 - 5) * (4 - 3) = 24,False
984,2 6 7 11,(11 - 7) * 6 / 2,False
383,8 9 12 13,(13 - 9) * 12 / 8 = 24,False
1268,1 7 12 13,(13 - 7) * (12 - 1) = 24,False
1318,4 7 11 13,(13 - 11) * (7 - 4) = 24,False
477,1 6 8 13,(13 - 6) * (8 / 1),False
1326,6 11 12 12,(12 / (12 - 11)) * 6 = 24,False
1230,1 3 8 11,(8 * 3) - 11 + 1 = 24,False
1262,8 9 11 11,(11 - 8) * (11 - 9) = 24,False
649,2 4 8 12,(12 / (8 - 4)) * 2 = 24,False
1122,3 3 9 11,(11 - 3) * (9 - 3) = 24,False
390,3 6 6 12,(12 / (6 - 3)) * 6,True
955,7 8 8 12,(7 - 8/8) * 12,False
1208,8 10 12 13,(10 - 8) * 13 - 12 = 24,False
266,4 4 4 4,(4 * 4) + (4 * 4),False
1164,5 5 5 12,(5 + 5) * (5 - 12) = 24,False
1102,2 3 5 10,(10 * 2) - (5 + 3) = 24,False
967,2 5 7 7,(7 -(5-2)) * 7,False
1217,2 7 10 12,(12 * 2) - (10 + 7) = 24,False
742,2 2 8 10,(10 - 8) * 2 * 2 = 24,False
856,3 3 5 9,(9 - 3) * 3 - 5 = 24,False
312,1 2 10 13,(13 - 10) * (2 + 1) = 24,False
712,6 6 8 11,(11 - 8) * 6 / 6 = 24,False
869,6 6 8 8,(6 / (1 - (8 / 8))) * 6,False
863,1 5 5 11,(11 - (5 - 1)) * 5 = 24,False
1185,2 6 10 11,(11 - 10) * 6 / 2 = 24,False
166,2 8 10 10,(10 - 8) * (10 / 2) = 24,False
925,7 9 9 13,(13 - 7) * (9 - 9) = 24,False
455,3 7 11 12,(12 - 11) * 7 * 3 = 24,False
1192,6 6 9 10,(10 - 6) * (9 - 6) = 24,False
760,4 4 8 10,(10 - 8) * 4 + 4 = 24,False
1101,5 7 10 10,(10 * 10) / (7 - 5) = 24,False
1123,5 7 9 11,(11 - 9) * 7 - 5 = 24,False
794,3 5 6 7,(7 - 5) * 6 / 3 = 24,False
465,2 6 7 9,(9 - 6) * 7 - 2 = 24,False
252,2 8 11 11,(11 - 11) * 2 + 8 = 24,False
377,1 11 12 12,(12 / (12 - 11)) * 1 = 24,False
964,1 7 10 13,(13 - 10) * 7 - 1 = 24,False
66,3 8 9 9,(9 - 3) * 9 / 8,False
960,2 6 8 13,(8 - 6) * 13 / 2 = 24,False
352,4 7 13 13,(13 - 7) * (13 - 4) = 24,False
830,2 3 3 9,(9 - 3) * (3 + 2) = 24,False
652,4 5 9 10,(9 - 5) * (10 - 4) = 24,True
1238,3 3 7 8,(8 * 3) - 3 - 7 = 24,False
416,5 5 6 6,(6 - 5) * (6 + 5) = 24,False
825,1 9 11 13,(13 - 9) * (11 - 1) = 24,False
755,1 2 6 11,(11 - 1) * 2 + 6 = 24,False
213,3 3 3 12,(12 - 3) * (3 - 3) = 24,False
423,8 8 9 11,(11 - 9) * 8 / 8 = 24,False
891,2 6 12 12,(12 / (12 - 6)) * 2 = 24,False
1239,3 5 7 11,(11 - 7) * 3 - 5 = 24,False
1271,3 4 5 11,(11 - 5) * (4 + 3) = 24,False
118,1 2 2 12,(12 / (2 - 1)) * 2,True
774,1 2 4 5,(5 * 4) - (2 * 1) = 24,False
807,2 5 8 9,(9 - 5) * (8 - 2) = 24,True
709,2 9 10 13,(10 - 9 + 13) * 2 = 24,False
567,4 8 10 11,(11 - 10) * 4 + 8 = 24,False
441,2 6 10 10,(10 - 6) * (10 - 2) = 24,False
321,1 12 12 12,(12 / (12 - 1)) * 12 = 24,False
943,4 5 6 8,(8 / (5 - 4)) * 6 = 24,False
577,2 6 8 10,(6 - 2) * (10 - 8) = 24,False
743,2 4 7 11,(11 - 7) * (4 + 2) = 24,True
44,1 8 8 8,(8 * 8 / 8) + 1,False
481,4 5 5 8,(8 - 5) * (5 + 4) = 24,False
734,4 5 9 13,(13 - 9) * (5 - 4) = 24,False
1214,2 3 10 10,(10 - 2) * (10 / 3) = 24,False
452,3 8 8 12,(8 * 3) - 8 - 12 = 24,False
40,1 1 11 12,(12 - 11) * (1 + 1) = 24,False
226,1 2 13 13,(13 - 13) * 2 * 1 = 24,False
791,8 8 9 13,(13 - 8) * (9 - 8) = 24,False
459,3 4 5 12,(12 / (5 - 3)) * 4 = 24,True
1204,3 4 8 13,(13 - 4) * (8 - 3) = 24,False
1100,2 2 2 9,(9 - 2) * 2 + 2 = 24,False
396,2 6 7 13,(13 - 7) * 2 + 6,False
34,4 5 12 12,(12 / (12 - 5)) * 4 = 24,False
638,3 5 8 8,(8 / (3 - 5/8)) = 24,False
787,6 6 6 12,(6 * 6) - (12 / 6) = 24,False
711,3 11 12 12,(12 - 12) * (11 + 3) = 24,False
1032,1 4 8 9,(9 - 4) * (8 - 1),False
1037,4 5 5 10,(10 * 5) - (5 * 4) = 24,False
1153,2 2 3 4,(3 + 2) * 4 - 2,False
1206,2 6 9 10,(10 - 6) * (9 - 2) = 24,False
131,9 9 11 13,(13 - 9) * (11 - 9) = 24,False
23,3 7 7 8,(7 - 3) * 7 - 8 = 24,False
799,6 8 11 13,(13 - 11) * (8 + 6) = 24,False
1257,3 4 7 8,(8 - 3) * (7 - 4) = 24,False
566,1 4 9 12,(12 - 9) * (4 - 1) = 24,False
1259,3 5 10 10,(10 - 3) * (10 - 5) = 24,False
697,1 2 6 13,(6 / (1 - 2/13)) = 24,False
180,3 8 12 12,(12 / (12 - 8)) * 3,False
83,3 5 5 8,(5 * 5) - 3 - 8 = 24,False
1194,6 6 6 10,(6 + 6) * (10 / 6) = 24,False
669,5 5 8 8,(8 / (5 - 5/8)) = 24,False
168,1 1 3 13,(13 - 3) * 1 + 1,False
618,8 10 13 13,(13 - 10) * 8 / 13,False
1074,7 7 9 10,(10 - 9) * 7 - 7 = 24,False
657,2 7 9 10,(10 * 2) - (9 - 7) = 24,False
1321,3 4 6 13,(13 - 6) * (4 - 3) = 24,False
1089,2 5 10 13,(13 - 10) * (5 - 2) = 24,False
202,4 7 12 12,(12 - 7) * (12 / 4) = 24,False
286,2 4 5 12,(12 / (5 - 4)) * 2 = 24,True
1237,3 6 9 13,(9 - 6) * 3 + 13 = 24,False
568,2 2 2 10,(10 - 2) * 2 + 2,False
304,4 6 12 12,(12 - 6) * (12 / 4) = 24,False
98,4 6 6 6,(6 * 4) - (6 - 6) = 24,True
1138,2 5 9 10,(10 - 9 + 5) * 2 = 24,False
817,2 8 8 10,(8 - 2) * (10 - 8) = 24,False
653,1 3 4 13,(13 - 4) * (3 - 1) = 24,False
1081,5 6 10 12,(10 - 5) * (12 / 6) = 24,False
906,1 8 10 11,(10 - 1) * (11 - 8) = 24,False
1351,3 3 5 7,(3*7) - (3+5),False
177,1 2 10 12,(12 - 10) * (2 + 1),False
300,2 8 8 13,(8 * (13 - 2)) / 8 = 24,False
596,5 8 8 9,(8 - 5) * 8 / 9,False
704,1 4 9 10,(10 - 9) * 4 + 1,False
192,1 2 6 8,(8 * 2) - (6 - 1) = 24,False
285,2 2 2 11,(11 - 2) * (2 + 2) = 24,False
641,8 10 10 12,(10 - 8) * (12 - 10) = 24,False
437,1 2 3 5,(3 * 5) - 2 - 1 = 24,False
752,1 3 8 8,(8 - 3) * (8 - 1) = 24,False
442,10 10 12 13,(12 - 10) * (13 - 10) = 24,False
988,5 5 8 13,(13 - 5) * (8 / 5) = 24,False
939,2 6 8 12,(12 * 2) - (8 * 6) = 24,False
1191,8 8 8 11,(8 / (11 - 8/8)) = 24,False
746,4 8 9 11,(11 - 9) * 8 / 4 = 24,False
137,1 3 6 12,(6 / (1 - (3 / 12))) = 24,False
585,1 3 5 11,(11 - 5) * (3 + 1) = 24,True
171,1 2 4 4,(4 * 4) - (2 * 1) = 24,False
892,3 4 5 6,(5 * 6) - (4 * 3) = 24,False
1319,4 5 6 11,(11 - 6) * 5 - 4 = 24,False
828,1 1 4 10,(10 - 4) * (1 + 1) = 24,False
1055,6 9 10 12,(10 - 6) * (12 / 9) = 24,False
707,1 6 10 13,(13 - 10) * (6 - 1) = 24,False
91,7 8 12 12,(12 - 7) * (12 / 8) = 24,False
194,2 8 13 13,(13 - 13) * 2 + 8 = 24,False
735,4 6 10 12,(12 * 10) / (6 - 4) = 24,False
190,3 8 11 12,(11 - 3) * (12 / 8) = 24,False
945,1 3 9 9,(9 - 1) * (9 - 3) = 24,False
1168,2 5 5 9,(5 * 2) * (9 - 5) = 24,False
342,2 3 12 13,(13 - 12) * (3 + 2) = 24,False
630,2 7 8 11,(11 - 7) * (8 - 2) = 24,True
245,1 5 8 9,(9 - 8 + 5) * 1 = 24,False
319,1 2 3 6,(3 * 2 * 6) / 1,False
694,4 4 7 12,(7 - 4) * 4 - 12 = 24,False
715,1 11 13 13,(13 - 13 + 11) * 1,False
369,7 8 12 13,(12 - 8) * (13 - 7) = 24,True
1289,7 9 11 12,(12 - 7) * (11 - 9) = 24,False
150,6 6 10 13,(6 * 6) - (10 - 13) = 24,False
1009,6 7 9 9,(9 - 6) * (9 - 7) = 24,False
716,1 4 6 7,(6 * 4) - 7 + 1 = 24,False
338,1 6 6 10,(6 * 6) - 1 - 10 = 24,False
374,2 5 5 13,(13 - 5) * 2 + 5 = 24,False
866,1 5 6 13,(13 - 5) * (6 - 1),False
110,1 6 6 11,(11 - 6) * 6 / 1,False
1006,3 6 7 13,(13 - 7) * 3 - 6 = 24,False
439,2 2 7 13,(13 - 7) * 2 + 2 = 24,False
11,1 1 4 8,(8 * 4) - (1 + 1) = 24,False
1324,5 7 10 11,(11 - 5) * (10 - 7) = 24,False
1216,2 2 9 10,(10 - 9) * (2 + 2) = 24,False
595,1 4 8 11,(11 - 1) * 4 / 8 = 24,False
805,2 2 3 11,(11 - 2) * 2 - 3 = 24,False
986,1 2 7 12,(12 / (1 - (2 / 7))) = 24,False
840,5 9 9 11,(11 - 9) * 5 + 9 = 24,False
661,4 6 8 12,(12 / 4) * (8 - 6) = 24,False
436,3 3 4 4,3 * 3 * 4 - 4 = 24,False
583,6 6 7 10,(7 - 6) * (10 + 6) = 24,False
1144,5 9 9 12,(9 - 5) * 12 / 9 = 24,False
24,1 1 13 13,13 * (13 - 1 - 1) = 24,False
876,6 9 10 11,(10 - 6) * 11 / 9 = 24,False
